# qlnes-spike-trace v0
# columns: cpu_cycle	addr_hex	value_hex
12	4010	00
736588	4000	00
736596	4002	ad
736614	4003	06
736622	4004	00
736630	4006	ad
736648	4007	06
736656	4008	80
736664	400a	ad
736672	400b	06
736680	400c	f0
736688	400e	0f
766368	4000	00
766376	4002	ad
766395	4004	00
766403	4006	ad
766422	4008	80
766430	400a	ad
766438	400b	06
766446	400c	f0
766454	400e	0f
767248	4015	0f
767254	4008	81
767260	400f	01
767266	4000	30
767270	4004	30
767274	400c	30
767280	4001	08
767284	4005	08
795636	4014	02
796239	4000	30
796247	4002	ad
796265	4003	06
796273	4004	30
796281	4006	ad
796299	4007	06
796307	4008	80
796315	400a	ad
796323	400b	06
796331	400c	f0
796339	400e	0f
825415	4014	02
826018	4000	30
826026	4002	ad
826045	4004	30
826053	4006	ad
826072	4008	80
826080	400a	ad
826088	400b	06
826096	400c	f0
826104	400e	0f
855196	4014	02
855799	4000	30
855807	4002	ad
855826	4004	30
855834	4006	ad
855853	4008	80
855861	400a	ad
855869	400b	06
855877	400c	f0
855885	400e	0f
884975	4014	02
885582	4000	30
885590	4002	ad
885609	4004	30
885617	4006	ad
885636	4008	80
885644	400a	ad
885652	400b	06
885660	400c	f0
885668	400e	0f
914756	4014	02
915359	4000	30
915367	4002	ad
915386	4004	30
915394	4006	ad
915413	4008	80
915421	400a	ad
915429	400b	06
915437	400c	f0
915445	400e	0f
944534	4014	02
945137	4000	30
945145	4002	ad
945164	4004	30
945172	4006	ad
945191	4008	80
945199	400a	ad
945207	400b	06
945215	400c	f0
945223	400e	0f
974316	4014	02
974919	4000	30
974927	4002	ad
974946	4004	30
974954	4006	ad
974973	4008	80
974981	400a	ad
974989	400b	06
974997	400c	f0
975005	400e	0f
1004094	4014	02
1004697	4000	30
1004705	4002	ad
1004724	4004	30
1004732	4006	ad
1004751	4008	80
1004759	400a	ad
1004767	400b	06
1004775	400c	f0
1004783	400e	0f
1033875	4014	02
1034478	4000	30
1034486	4002	ad
1034505	4004	30
1034513	4006	ad
1034532	4008	80
1034540	400a	ad
1034548	400b	06
1034556	400c	f0
1034564	400e	0f
1063654	4014	02
1064261	4000	30
1064269	4002	ad
1064288	4004	30
1064296	4006	ad
1064315	4008	80
1064323	400a	ad
1064331	400b	06
1064339	400c	f0
1064347	400e	0f
1093435	4014	02
1094038	4000	30
1094046	4002	ad
1094065	4004	30
1094073	4006	ad
1094092	4008	80
1094100	400a	ad
1094108	400b	06
1094116	400c	f0
1094124	400e	0f
1123215	4014	02
1123818	4000	30
1123826	4002	ad
1123845	4004	30
1123853	4006	ad
1123872	4008	80
1123880	400a	ad
1123888	400b	06
1123896	400c	f0
1123904	400e	0f
1152996	4014	02
1153599	4000	30
1153607	4002	ad
1153626	4004	30
1153634	4006	ad
1153653	4008	80
1153661	400a	ad
1153669	400b	06
1153677	400c	f0
1153685	400e	0f
1182774	4014	02
1183377	4000	30
1183385	4002	ad
1183404	4004	30
1183412	4006	ad
1183431	4008	80
1183439	400a	ad
1183447	400b	06
1183455	400c	f0
1183463	400e	0f
1212555	4014	02
1213158	4000	30
1213166	4002	ad
1213185	4004	30
1213193	4006	ad
1213212	4008	80
1213220	400a	ad
1213228	400b	06
1213236	400c	f0
1213244	400e	0f
1242334	4014	02
1242941	4000	30
1242949	4002	ad
1242968	4004	30
1242976	4006	ad
1242995	4008	80
1243003	400a	ad
1243011	400b	06
1243019	400c	f0
1243027	400e	0f
1272115	4014	02
1272718	4000	30
1272726	4002	ad
1272745	4004	30
1272753	4006	ad
1272772	4008	80
1272780	400a	ad
1272788	400b	06
1272796	400c	f0
1272804	400e	0f
1301896	4014	02
1302499	4000	30
1302507	4002	ad
1302526	4004	30
1302534	4006	ad
1302553	4008	80
1302561	400a	ad
1302569	400b	06
1302577	400c	f0
1302585	400e	0f
1331674	4014	02
1332277	4000	30
1332285	4002	ad
1332304	4004	30
1332312	4006	ad
1332331	4008	80
1332339	400a	ad
1332347	400b	06
1332355	400c	f0
1332363	400e	0f
1361456	4014	02
1362059	4000	30
1362067	4002	ad
1362086	4004	30
1362094	4006	ad
1362113	4008	80
1362121	400a	ad
1362129	400b	06
1362137	400c	f0
1362145	400e	0f
1362241	4016	01
1362247	4016	00
1362444	4016	01
1362450	4016	00
1362647	4016	01
1362653	4016	00
1391236	4014	02
1391839	4000	30
1391847	4002	ad
1391866	4004	30
1391874	4006	ad
1391893	4008	80
1391901	400a	ad
1391909	400b	06
1391917	400c	f0
1391925	400e	0f
1421015	4014	02
1421622	4000	30
1421630	4002	ad
1421649	4004	30
1421657	4006	ad
1421676	4008	80
1421684	400a	ad
1421692	400b	06
1421700	400c	f0
1421708	400e	0f
1421794	4016	01
1421800	4016	00
1421997	4016	01
1422003	4016	00
1422200	4016	01
1422206	4016	00
1450795	4014	02
1451398	4000	30
1451406	4002	ad
1451425	4004	30
1451433	4006	ad
1451452	4008	80
1451460	400a	ad
1451468	400b	06
1451476	400c	f0
1451484	400e	0f
1451580	4016	01
1451586	4016	00
1451783	4016	01
1451789	4016	00
1451986	4016	01
1451992	4016	00
1480575	4014	02
1481178	4000	30
1481186	4002	ad
1481205	4004	30
1481213	4006	ad
1481232	4008	80
1481240	400a	ad
1481248	400b	06
1481256	400c	f0
1481264	400e	0f
1481360	4016	01
1481366	4016	00
1481563	4016	01
1481569	4016	00
1481766	4016	01
1481772	4016	00
1510355	4014	02
1510958	4000	30
1510966	4002	ad
1510985	4004	30
1510993	4006	ad
1511012	4008	80
1511020	400a	ad
1511028	400b	06
1511036	400c	f0
1511044	400e	0f
1511140	4016	01
1511146	4016	00
1511343	4016	01
1511349	4016	00
1511546	4016	01
1511552	4016	00
1540135	4014	02
1540738	4000	30
1540746	4002	ad
1540765	4004	30
1540773	4006	ad
1540792	4008	80
1540800	400a	ad
1540808	400b	06
1540816	400c	f0
1540824	400e	0f
1540920	4016	01
1540926	4016	00
1541123	4016	01
1541129	4016	00
1541326	4016	01
1541332	4016	00
1569915	4014	02
1570518	4000	30
1570526	4002	ad
1570545	4004	30
1570553	4006	ad
1570572	4008	80
1570580	400a	ad
1570588	400b	06
1570596	400c	f0
1570604	400e	0f
1599694	4014	02
1600301	4000	30
1600309	4002	ad
1600328	4004	30
1600336	4006	ad
1600355	4008	80
1600363	400a	ad
1600371	400b	06
1600379	400c	f0
1600387	400e	0f
1600473	4016	01
1600479	4016	00
1600676	4016	01
1600682	4016	00
1600879	4016	01
1600885	4016	00
1629474	4014	02
1630077	4000	30
1630085	4002	ad
1630104	4004	30
1630112	4006	ad
1630131	4008	80
1630139	400a	ad
1630147	400b	06
1630155	400c	f0
1630163	400e	0f
1630259	4016	01
1630265	4016	00
1630462	4016	01
1630468	4016	00
1630665	4016	01
1630671	4016	00
1659254	4014	02
1659857	4000	30
1659865	4002	ad
